point,x,y,z,abs_rel_error
10,0.25986287961937526,-0.79,-0.5553118797540045,0.34024009108543396
76,0.8335538861569624,0.53,0.15584581762955937,0.3141523599624634
38,-0.9690377330644508,-0.22999999999999998,-0.08981019929445755,0.12639667093753815
75,-0.5166785364497933,0.51,-0.6877087246589937,0.18081261217594147
36,0.004697099521205685,-0.27,-0.9628488652203355,0.2750140428543091
38,-0.9690377330644508,-0.22999999999999998,-0.08981019929445755,0.879675030708313
99,0.055727639237472336,0.99,-0.1295933263135805,0.93112713098526
63,0.8863889253260228,0.27,0.37605142342421527,0.17061477899551392
47,0.9544174930265714,-0.04999999999999994,-0.2942571137710596,0.1324760466814041
45,0.37551252700982696,-0.08999999999999998,0.9224371751283086,0.27273130416870117
62,-0.401811450411341,0.25,-0.8809356153081419,0.250959575176239
54,-0.6990651512013292,0.09000000000000007,-0.70937149250295,0.14638932049274445
18,0.5504734730017758,-0.63,-0.5477946289635953,0.24785195291042328
22,-0.6855518693235865,-0.55,0.4769891345376079,0.13546615839004517
96,-0.17962342143733764,0.9299999999999999,-0.32067963214264905,0.17593565583229065
83,-0.2152553036362387,0.6700000000000002,-0.7104682640741038,0.20786648988723755
0,0.14106735979665894,-0.99,0.0,2585970432.0
26,0.8012767453628411,-0.47,-0.370210179952865,0.2755213677883148
59,-0.9567823612629455,0.18999999999999995,-0.22015338556584238,0.15079395473003387
74,-0.08467967930963359,0.49,0.8675997648178667,0.1895126849412918
50,0.8152062920736045,0.01,0.5790843646340359,0.1916254758834839
61,-0.3003060579947334,0.22999999999999998,0.9256977214683332,0.17841298878192902
79,0.3651293470107336,0.5900000000000001,0.7201253779388108,0.24965710937976837
37,0.6505500155256161,-0.25,0.7171364425962612,0.588740885257721
55,0.9926348887829454,0.11000000000000008,0.05075408920343027,0.18280284106731415
41,-0.5248530201618092,-0.16999999999999993,-0.8340439480189442,0.19074378907680511
59,-0.9567823612629455,0.18999999999999995,-0.22015338556584238,0.14054323732852936
50,0.8152062920736045,0.01,0.5790843646340359,0.1757429987192154
71,0.6597362540258498,0.42999999999999994,0.6163181606312923,0.26547789573669434
79,0.3651293470107336,0.5900000000000001,0.7201253779388108,0.20181748270988464
41,-0.5248530201618092,-0.16999999999999993,-0.8340439480189442,0.32868102192878723
6,-0.12799834942097849,-0.87,0.4761474798268968,0.23079487681388855
28,-0.3055644949304832,-0.42999999999999994,-0.8495471378551508,0.43945345282554626
59,-0.9567823612629455,0.18999999999999995,-0.22015338556584238,0.7984803915023804
36,0.004697099521205685,-0.27,-0.9628488652203355,0.4659374952316284
82,-0.32879508163366533,0.6500000000000001,0.6851231964351457,0.1507367193698883
52,0.6473587655569581,0.05000000000000004,-0.7605436402051965,0.3828260004520416
28,-0.3055644949304832,-0.42999999999999994,-0.8495471378551508,0.16053509712219238
29,0.807368470353567,-0.41000000000000003,0.4243302405897338,0.20055373013019562
54,-0.6990651512013292,0.09000000000000007,-0.70937149250295,0.13363827764987946
85,-0.6892192113800709,0.71,0.14448833400878117,0.09892018884420395
78,0.22103383354893766,0.5700000000000001,-0.7913558266839642,0.3290177881717682
37,0.6505500155256161,-0.25,0.7171364425962612,0.30790767073631287
59,-0.9567823612629455,0.18999999999999995,-0.22015338556584238,0.14560243487358093
60,0.850660805595189,0.20999999999999996,-0.4819504059798521,0.18396225571632385
36,0.004697099521205685,-0.27,-0.9628488652203355,0.2750140428543091
44,0.34550733637457615,-0.11,-0.9319467154893275,0.29003193974494934
46,-0.901439181495355,-0.06999999999999997,-0.4272088506398064,0.14963729679584503
33,-0.7463332015518084,-0.32999999999999996,-0.5780023808440825,0.23233327269554138
89,0.6128012785524265,0.79,-0.019354405299861974,0.09057950228452682
50,0.8152062920736045,0.01,0.5790843646340359,0.1604808121919632
44,0.34550733637457615,-0.11,-0.9319467154893275,0.2593216001987457
50,0.8152062920736045,0.01,0.5790843646340359,0.20742525160312653
39,0.7787972701490786,-0.20999999999999996,-0.5910793618528254,0.16111785173416138
96,-0.17962342143733764,0.9299999999999999,-0.32067963214264905,0.15348784625530243
17,-0.7592852649071572,-0.6499999999999999,0.03139882951430177,0.24547334015369415
83,-0.2152553036362387,0.6700000000000002,-0.7104682640741038,0.211894229054451
88,-0.48384468997886504,0.77,-0.41592585394425297,0.17888811230659485
14,-0.40500710772062326,-0.71,0.5760809341540262,0.1978396475315094
51,-0.9918765882863899,0.03000000000000002,0.12361566894755349,0.1668742597103119
36,0.004697099521205685,-0.27,-0.9628488652203355,0.1938859522342682
38,-0.9690377330644508,-0.22999999999999998,-0.08981019929445755,0.13210681080818176
38,-0.9690377330644508,-0.22999999999999998,-0.08981019929445755,0.14771175384521484
56,-0.764358245970163,0.13000000000000012,0.6315508465811884,0.26774781942367554
14,-0.40500710772062326,-0.71,0.5760809341540262,0.19888854026794434
44,0.34550733637457615,-0.11,-0.9319467154893275,0.32031071186065674
77,-0.7090144449898004,0.55,0.4413598495511404,0.08852311223745346
45,0.37551252700982696,-0.08999999999999998,0.9224371751283086,0.30476030707359314
91,0.03119864681222026,0.8300000000000001,-0.5568901547316906,0.12047290802001953
22,-0.6855518693235865,-0.55,0.4769891345376079,0.13086336851119995
13,0.6675062690706619,-0.73,-0.1467493807529188,0.15866534411907196
45,0.37551252700982696,-0.08999999999999998,0.9224371751283086,0.26012569665908813
40,-0.1757232343349757,-0.18999999999999995,0.9659303002364379,0.3321904242038727
27,-0.3447635703729665,-0.44999999999999996,0.8237949262672627,0.5501375198364258
52,0.6473587655569581,0.05000000000000004,-0.7605436402051965,0.18816673755645752
30,-0.8904003466173135,-0.39,0.234706673837298,0.08982287347316742
82,-0.32879508163366533,0.6500000000000001,0.6851231964351457,0.2563285231590271
28,-0.3055644949304832,-0.42999999999999994,-0.8495471378551508,0.2683310806751251
73,0.6566368732194224,0.47,-0.5898542334582504,0.2909660339355469
71,0.6597362540258498,0.42999999999999994,0.6163181606312923,0.219681516289711
71,0.6597362540258498,0.42999999999999994,0.6163181606312923,0.15672588348388672
83,-0.2152553036362387,0.6700000000000002,-0.7104682640741038,0.23171362280845642
92,0.3335523795842149,0.8500000000000001,0.40772884380885743,0.14887122809886932
79,0.3651293470107336,0.5900000000000001,0.7201253779388108,0.1747741997241974
4,-0.40827033374843424,-0.91,-0.07221727342500583,0.13227799534797668
16,0.567645667942108,-0.6699999999999999,0.478412369892918,0.13915762305259705
4,-0.40827033374843424,-0.91,-0.07221727342500583,0.3787795901298523
82,-0.32879508163366533,0.6500000000000001,0.6851231964351457,0.29175758361816406
90,-0.4196947695184392,0.81,0.4095806397266161,0.2972148358821869
23,0.18611968347547322,-0.53,-0.8273206533279521,0.23823420703411102
80,-0.7416320598954952,0.6100000000000001,-0.27907326589117165,0.19042107462882996
